Shortcut,Expansion
وللخظب,وللخضب
وللرظع,وللرضع
وللرظ,وللرض
وللرظا,وللرضا
وللرظى,وللرضى
وللرفظ,وللرفض
وللركظ,وللركض
وللرمظ,وللرمض
وللظوء,وللضوء
وللظور,وللضور
وللظير,وللضير
وللظيع,وللضيع
وللظيف,وللضيف
وللظبط,وللضبط
وللظبح,وللضبح
وللظبر,وللضبر
وللظجر,وللضجر
وللظحو,وللضحو
وللظحك,وللضحك
وللظحل,وللضحل
وللظرر,وللضرر
وللظغط,وللضغط
وللظغم,وللضغم
وللظف,وللضف
وللظم,وللضم
وللظمد,وللضمد
وللظنى,وللضنى
وللغظ,وللغض
وللغظب,وللغضب
وللغظر,وللغضر
وللفيظ,وللفيض
وللفظح,وللفضح
وللقبظ,وللقبض
وللقرظ,وللقرض
وللقظظ,وللقضض
وللقظ,وللقض
وللقظب,وللقضب
وللقظم,وللقضم
وللمخظ,وللمخض
وللمرظ,وللمرض
وللمظي,وللمضي
وللمظظ,وللمضض
وللمظ,وللمض
وللمظغ,وللمضغ
وللنبظ,وللنبض
وللنظ,وللنض
وللنظج,وللنضج
وللنظح,وللنضح
وللنظخ,وللنضخ
وللهيظ,وللهيض
وللهظم,وللهضم
وللوظح,وللوضح
وللوظع,وللوضع
وللظعة,وللضعة
وللخظع,وللخضع
وللمظر,وللمضر
وللظار,وللضار
وللنظب,وللنضب
وللنهظ,وللنهض
وللعظل,وللعضل
وللظرط,وللضرط
وللعظظ,وللعضض
وللحظظ,وللحضض
وللبيظ,وللبيض
وللظخم,وللضخم
وللأظل,وللأضل
وللرظي,وللرضي
وللمظب,وللمضب
وللنظو,وللنضو
وللهظب,وللهضب
وللخفظ,وللخفض
وللظرج,وللضرج
وللظنو,وللضنو
وللظرى,وللضرى
وللفظو,وللفضو
وللغظو,وللغضو
وللظهى,وللضهى
وللقوظ,وللقوض
وللظوع,وللضوع
وللظغو,وللضغو
وللظفو,وللضفو
وللنوظ,وللنوض
وللظوى,وللضوى
وللنظي,وللنضي
وللوظء,وللوضء
وللغظى,وللغضى
وللرظو,وللرضو
وللظخ,وللضخ
وللحبظ,وللحبض
وللظج,وللضج
وللومظ,وللومض
وللوفظ,وللوفض
وللعظ,وللعض
وللظرح,وللضرح
وللظمخ,وللضمخ
وللهظل,وللهضل
وللرظب,وللرضب
وللرظخ,وللرضخ
وللحرظ,وللحرض
وللظجع,وللضجع
وللنظل,وللنضل
وللظاج,وللضاج
وللعاظ,وللعاض
وللغاظ,وللغاض
وللظهي,وللضهي
وللتقظ,وللتقض
وللقظي,وللقضي
وللظجي,وللضجي
وللمظن,وللمضن
وللتمظ,وللتمض
وللظفي,وللضفي
وللتفظ,وللتفض
وللبظي,وللبضي
وللظخي,وللضخي
وللظمي,وللضمي
وللغظي,وللغضي
وللترظ,وللترض
وللظدي,وللضدي
وللظعي,وللضعي
وللراظ,وللراض
وللقاظ,وللقاض
وللناظ,وللناض
وللظاف,وللضاف
وللنظه,وللنضه
افبر,الإبر
افبط,الإبط
افبل,الإبل
افتب,الإتب
افثر,الإثر
افحن,الإحن
افرب,الإرب
افمع,الإمع
افنس,الإنس
افوز,الإوز
افثم,الإثم
افذن,الإذن
اففك,الإفك
افلف,الإلف
افصر,الإصر
افسى,الإسى
افنش,الإنش
لفبر,للإبر
لفبط,للإبط
لفبل,للإبل
لفتب,للإتب
لفثر,للإثر
لفرب,للإرب
لفمع,للإمع
لفنس,للإنس
لفثم,للإثم
لفصر,للإصر
لفسى,للإسى
لفنش,للإنش
